machine_code,unit_number,data_date,sampled_at_jst,original_slump_value,chained_slump_value,hours_from_origin,is_day_start
M0001,3075,2026-08-11,2026-08-11T10:53:13+09:00,-100,-100,0.0000,1
M0001,3075,2026-08-11,2026-08-11T11:28:39+09:00,500,500,0.5906,0
M0001,3075,2026-08-11,2026-08-11T12:02:43+09:00,-100,-100,1.1583,0
M0001,3075,2026-08-11,2026-08-11T12:36:02+09:00,1300,1300,1.7136,0
M0001,3075,2026-08-11,2026-08-11T13:06:25+09:00,2800,2800,2.2200,0
M0001,3075,2026-08-11,2026-08-11T14:09:42+09:00,4300,4300,3.2747,0
M0001,3075,2026-08-11,2026-08-11T14:50:37+09:00,4000,4000,3.9567,0
M0001,3075,2026-08-11,2026-08-11T15:29:09+09:00,4200,4200,4.5989,0
M0001,3075,2026-08-11,2026-08-11T16:05:23+09:00,3500,3500,5.2028,0
M0001,3075,2026-08-11,2026-08-11T16:40:17+09:00,4000,4000,5.7844,0
M0001,3075,2026-08-11,2026-08-11T18:06:29+09:00,3700,3700,7.2211,0
M0001,3075,2026-08-11,2026-08-11T18:41:47+09:00,3100,3100,7.8094,0
M0001,3075,2026-08-11,2026-08-11T19:30:51+09:00,3300,3300,8.6272,0
M0001,3075,2026-08-11,2026-08-11T20:08:57+09:00,2600,2600,9.2622,0
M0001,3075,2026-08-11,2026-08-11T21:03:30+09:00,3000,3000,10.1714,0
M0001,3075,2026-08-11,2026-08-11T23:04:47+09:00,2900,2900,12.1928,0
M0001,3075,2026-08-12,2026-08-12T10:53:47+09:00,-100,2900,12.1928,1
M0001,3075,2026-08-12,2026-08-12T11:28:45+09:00,-400,2600,12.7756,0
M0001,3075,2026-08-12,2026-08-12T12:02:51+09:00,-900,2100,13.3439,0
M0001,3075,2026-08-12,2026-08-12T12:36:01+09:00,-1500,1500,13.8967,0
M0001,3075,2026-08-12,2026-08-12T13:06:31+09:00,-400,2600,14.4050,0
M0001,3075,2026-08-12,2026-08-12T13:35:53+09:00,-1000,2000,14.8944,0
M0001,3075,2026-08-12,2026-08-12T14:11:01+09:00,-1900,1100,15.4800,0
M0001,3075,2026-08-12,2026-08-12T14:56:33+09:00,-2600,400,16.2389,0
M0001,3075,2026-08-12,2026-08-12T15:31:45+09:00,-3300,-300,16.8256,0
M0001,3075,2026-08-12,2026-08-12T16:07:57+09:00,-4100,-1100,17.4289,0
M0001,3075,2026-08-12,2026-08-12T16:35:17+09:00,-3600,-600,17.8844,0
M0001,3075,2026-08-12,2026-08-12T18:14:03+09:00,-3400,-400,19.5306,0
M0001,3075,2026-08-12,2026-08-12T19:01:02+09:00,-1600,1400,20.3136,0
M0001,3075,2026-08-12,2026-08-12T21:39:31+09:00,-2200,800,22.9550,0
M0001,3075,2026-08-12,2026-08-12T22:26:01+09:00,-1900,1100,23.7300,0
M0001,3075,2026-08-13,2026-08-13T10:54:54+09:00,-200,1100,23.7300,1
M0001,3075,2026-08-13,2026-08-13T11:29:13+09:00,-800,500,24.3019,0
M0001,3075,2026-08-13,2026-08-13T12:03:39+09:00,800,2100,24.8758,0
M0001,3075,2026-08-13,2026-08-13T12:36:57+09:00,1500,2800,25.4308,0
M0001,3075,2026-08-13,2026-08-13T13:09:39+09:00,3100,4400,25.9758,0
M0001,3075,2026-08-13,2026-08-13T14:00:59+09:00,2900,4200,26.8314,0
M0001,3075,2026-08-13,2026-08-13T14:35:09+09:00,2700,4000,27.4008,0
M0001,3075,2026-08-13,2026-08-13T15:11:23+09:00,2500,3800,28.0047,0
M0001,3075,2026-08-13,2026-08-13T15:58:27+09:00,2000,3300,28.7892,0
M0001,3075,2026-08-13,2026-08-13T16:33:27+09:00,3700,5000,29.3725,0
M0001,3075,2026-08-13,2026-08-13T17:10:25+09:00,6000,7300,29.9886,0
M0001,3075,2026-08-13,2026-08-13T17:59:47+09:00,6300,7600,30.8114,0
M0001,3075,2026-08-13,2026-08-13T18:36:04+09:00,6000,7300,31.4161,0
M0001,3075,2026-08-13,2026-08-13T19:14:33+09:00,5900,7200,32.0575,0
M0001,3075,2026-08-13,2026-08-13T20:02:43+09:00,5200,6500,32.8603,0
M0001,3075,2026-08-13,2026-08-13T20:39:10+09:00,4300,5600,33.4678,0
M0001,3075,2026-08-13,2026-08-13T22:03:35+09:00,6100,7400,34.8747,0
